replication	sample	demand_type	total_demand	selected_count	selected	context_market	context_trend	context_promotion	context_attention
1	56	CONDITIONAL_MEAN	2074.7040761943	9	1|2|3|4|7|8|9|10|11	0.1598972991	0.9333333333	0.9087700614	0.6236139232
1	57	REALIZED	2224.4580949390	9	1|2|4|6|7|8|9|10|11	0.8840469723	0.9500000000	0.3782519171	0.8172249582
1	57	CONDITIONAL_MEAN	2308.7552727524	9	1|2|3|4|5|8|9|10|11	0.8840469723	0.9500000000	0.3782519171	0.8172249582
1	58	REALIZED	2686.4129509694	9	1|2|3|4|5|8|9|10|11	0.6678422381	0.9666666667	0.2368462019	0.9834436631
1	58	CONDITIONAL_MEAN	2231.1920651538	9	1|2|3|4|5|8|9|10|11	0.6678422381	0.9666666667	0.2368462019	0.9834436631
1	59	REALIZED	2483.6844596002	9	1|2|3|4|5|8|9|10|11	0.6519520311	0.9833333333	0.4143452456	0.2075201848
1	59	CONDITIONAL_MEAN	1948.8550617799	9	1|2|3|4|7|8|9|10|11	0.6519520311	0.9833333333	0.4143452456	0.2075201848
2	0	REALIZED	3019.1763204760	9	0|3|5|6|7|8|9|10|11	0.5428142003	0.0000000000	0.8466579760	0.7643603071
2	0	CONDITIONAL_MEAN	2007.5793495639	9	0|1|4|6|7|8|9|10|11	0.5428142003	0.0000000000	0.8466579760	0.7643603071
2	1	REALIZED	2675.9121885929	9	1|4|5|6|7|8|9|10|11	0.8467637018	0.0166666667	0.3765952429	0.9108877038
2	1	CONDITIONAL_MEAN	1936.0748207033	9	0|1|4|6|7|8|9|10|11	0.8467637018	0.0166666667	0.3765952429	0.9108877038
2	2	REALIZED	1154.1092630819	7	2|3|4|5|8|9|10	0.1836693629	0.0333333333	0.2722469291	0.5245110203
2	2	CONDITIONAL_MEAN	1418.9301379502	8	0|2|3|4|6|8|9|10	0.1836693629	0.0333333333	0.2722469291	0.5245110203
2	3	REALIZED	1313.3801558348	8	0|3|4|6|8|9|10|11	0.2506207411	0.0500000000	0.4502345599	0.2771113816
2	3	CONDITIONAL_MEAN	1450.2339687685	8	0|2|3|4|6|8|9|10	0.2506207411	0.0500000000	0.4502345599	0.2771113816
2	4	REALIZED	810.3738581451	6	0|2|3|4|8|9	0.1150618982	0.0666666667	0.1513132755	0.5055433793
2	4	CONDITIONAL_MEAN	1324.6965641219	8	0|2|3|4|6|8|9|10	0.1150618982	0.0666666667	0.1513132755	0.5055433793
2	5	REALIZED	1336.4428406130	8	0|2|3|4|6|8|9|10	0.5846796365	0.0833333333	0.3542264491	0.5164498383
2	5	CONDITIONAL_MEAN	1662.7339828794	9	0|2|3|4|6|7|8|9|10	0.5846796365	0.0833333333	0.3542264491	0.5164498383
2	6	REALIZED	1235.2482198079	8	0|2|3|4|6|9|10|11	0.8968980130	0.1000000000	0.2717724814	0.5498117003
2	6	CONDITIONAL_MEAN	1773.2814387266	9	0|1|3|4|6|7|8|9|10	0.8968980130	0.1000000000	0.2717724814	0.5498117003
2	7	REALIZED	1545.9499046493	9	0|2|3|4|6|8|9|10|11	0.6986334407	0.1166666667	0.0707270064	0.3820090087
2	7	CONDITIONAL_MEAN	1500.2458850545	8	0|2|3|4|6|8|9|10	0.6986334407	0.1166666667	0.0707270064	0.3820090087
2	8	REALIZED	1623.3047518164	9	2|3|4|5|6|8|9|10|11	0.9940770281	0.1333333333	0.6295701038	0.2182166578
2	8	CONDITIONAL_MEAN	1894.2319201832	9	0|1|4|6|7|8|9|10|11	0.9940770281	0.1333333333	0.6295701038	0.2182166578
