replication	query	nominal_total	truth_selected	saa_selected	csaa_selected	truth_count	saa_count	csaa_count	saa_regret_pct	csaa_regret_pct	ess	saa_demand_l1_pct	csaa_demand_l1_pct	saa_share_tv_pct	csaa_share_tv_pct	context_market	context_trend	context_promotion	context_attention
2	7	2253.2593597444	0|1|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	0|2|4|5|6|8|9|10|11	9	9	9	4.8810856676	3.3498619265	18.2189680022	17.4632335317	11.7118923337	2.2388967929	5.1423512420	0.5807031901	1.0000000000	0.9813087194	0.0419212368
2	8	2419.3427131983	0|1|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	0|2|4|5|6|8|9|10|11	9	9	9	3.9526321359	1.8642681180	29.9529770062	23.1292282184	20.5893717166	3.0142478609	3.0113214118	0.3419355907	1.0000000000	0.7579744128	0.9379985667
2	9	2108.3818865031	0|1|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	0|2|4|5|6|8|9|10|11	9	9	9	3.8515026335	2.7887226608	36.7872404408	12.1301308597	12.0261196361	3.6028532374	3.8837188460	0.8161927618	1.0000000000	0.2959001351	0.3928563578
2	10	2377.7615114930	0|1|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	0|2|4|5|6|8|9|10|11	9	9	9	4.4369895602	2.2788181990	21.1624284777	21.7849474522	13.0568857727	2.1953601181	4.4045888925	0.7593753627	1.0000000000	0.9207210979	0.2250529991
2	11	2133.2687021106	0|1|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	0|2|4|5|6|8|9|10|11	9	9	9	4.2429091735	3.0891963929	26.0589145775	12.8457069998	10.0212167904	2.6090895369	4.4272303275	0.6857201894	1.0000000000	0.5999800279	0.1747724957
2	12	2187.9737116389	0|1|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	2|3|4|6|7|8|9|10|11	9	9	9	3.5817779057	1.2091094060	36.3358948395	15.0004679771	14.7333625976	3.6445105162	3.4843977698	0.4275543162	1.0000000000	0.4499559191	0.7452419873
2	13	2134.7371483905	0|1|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	0|2|4|5|6|8|9|10|11	9	9	9	4.2604675943	2.7930464131	27.3425360898	13.2555506444	10.0559252144	3.2362136579	4.6278415271	0.9478584890	1.0000000000	0.5094786368	0.0422087140
2	14	1685.7131685010	0|2|3|4|6|7|8|9|10	0|2|3|4|6|8|9|10|11	0|2|3|4|6|8|9|10|11	9	9	9	2.3771403642	2.3771403642	35.1200866901	14.1443132688	12.4913280941	5.0228406713	5.6396039434	0.1285858086	1.0000000000	0.1865435679	0.2648238656
2	15	1712.3771900940	0|2|3|4|6|7|8|9|10	0|2|3|4|6|8|9|10|11	2|3|4|5|6|8|9|10|11	9	9	9	1.4360178155	3.6418215456	32.6618812292	13.5309197263	13.9945787847	5.1679282567	6.3201178395	0.5234548573	1.0000000000	0.0364165312	0.1377450629
2	16	1987.3195142146	0|2|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	2|3|4|6|7|8|9|10|11	9	9	9	2.5720586160	0.1241724059	31.1789548283	9.3011622186	10.6357692593	4.5144383178	3.9980410789	0.7072200916	1.0000000000	0.1006306065	0.4864877230
2	17	2256.8462553799	0|1|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	0|2|4|5|6|8|9|10|11	9	9	9	4.9124300900	3.2992124026	16.7957764145	17.5944125018	11.5959325146	2.2933363116	5.3794704816	0.6370860120	1.0000000000	0.9678465162	0.0127847996
2	18	2261.9560706701	0|1|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	2|3|4|6|7|8|9|10|11	9	9	9	3.6655064005	1.7088565460	25.8174403218	17.8017506556	17.2567889262	3.8624816392	3.8644041743	0.2622267300	1.0000000000	0.5232446920	0.9742599306
2	19	2227.7629262343	0|1|4|6|7|8|9|10|11	0|2|3|4|6|8|9|10|11	0|2|4|5|6|8|9|10|11	9	9	9	4.4909749908	3.2153202480	31.9591474368	16.5186118426	12.0309869535	2.2545997924	3.7872900042	0.5462342043	1.0000000000	0.7389118976	0.3378769852
