sample	demand_type	total_demand	free_count	fixed_count	total_cost	transport_cost	spot_cost	mqc_penalty	spot_quantity	mqc_shortfall	selected_capacity	selected_mqc	covered_lanes	capacity_short_lanes	lane_capacity_shortfall	selected
0	CONDITIONAL_MEAN	2302.3516806904	9	6	131911.6202537780	115750.7053144549	16160.9149393229	0.0000000000	147.3585774864	0.0000000000	2548.6894953168	988.5699659626	20	10	144.9951490573	0|3|7|8|9|11
0	CONDITIONAL_MEAN	2302.3516806904	9	7	120573.5228757057	109552.2838798752	11021.2389958303	0.0000000000	101.6493730754	0.0000000000	2927.1862260357	1111.9944310786	20	6	101.6493730754	0|1|3|7|8|9|11
0	CONDITIONAL_MEAN	2302.3516806904	9	8	111949.0463294773	106510.3084593695	5438.7378701077	0.0000000000	54.5450803352	0.0000000000	3199.3173499755	1203.5388179281	20	6	54.5450803352	0|3|5|6|7|8|9|11
0	CONDITIONAL_MEAN	2302.3516806904	9	9	105734.8253436792	103748.1214321407	1986.7039115385	0.0000000000	17.9780342956	0.0000000000	3477.3935107128	1311.2529515503	20	4	17.9780342956	0|3|5|6|7|8|9|10|11
1	REALIZED	1235.6231319459	9	2	90050.5629444042	52142.4768291370	37908.0861152673	0.0000000000	379.9493166531	0.0000000000	954.3570251389	397.1673027416	16	14	379.9493166531	3|11
1	REALIZED	1235.6231319459	9	3	73982.2879695510	58108.0087721163	15874.2791974347	0.0000000000	158.2953935207	0.0000000000	1514.0360630925	602.6298756874	17	11	158.2953935207	3|7|11
1	REALIZED	1235.6231319459	9	4	62997.9752341696	54276.3648237274	8721.6104104423	0.0000000000	100.2023978334	0.0000000000	1594.5502472704	654.6312312800	20	7	100.2023978334	0|3|6|11
1	REALIZED	1235.6231319459	9	5	54913.9982171985	50868.7542393143	4045.2439778842	0.0000000000	34.2191972855	0.0000000000	2154.2292852240	860.0938042258	20	3	34.2191972855	0|3|6|7|11
1	REALIZED	1235.6231319459	9	6	50401.5824495453	48053.7679384215	2347.8145111238	0.0000000000	17.5637954115	0.0000000000	2532.7260159429	983.5182693418	20	3	17.5637954115	0|1|3|6|7|11
1	REALIZED	1235.6231319459	9	7	48161.3526034214	46909.7668678474	1251.5857355740	0.0000000000	10.4599617435	0.0000000000	2810.8021766803	1091.2324029640	20	2	10.4599617435	0|1|3|6|7|10|11
1	REALIZED	1235.6231319459	9	8	47065.5155298343	46265.9268117339	343.4922637397	456.0964543607	4.5987702587	35.3517181962	3129.4145730196	1196.0580326085	20	2	4.5987702587	0|1|2|3|6|7|10|11
1	REALIZED	1235.6231319459	9	9	46706.9666292495	45688.0322541931	325.1255536801	693.8088213763	2.1495294852	57.4501911586	3437.2572944138	1266.1440400373	20	2	2.1495294852	0|1|2|3|5|6|7|8|9
1	CONDITIONAL_MEAN	1637.1150058755	9	2	130603.9053523463	56476.9246970927	74126.9806552535	0.0000000000	693.5822516724	0.0000000000	954.3570251389	397.1673027416	16	19	693.5822516724	3|11
1	CONDITIONAL_MEAN	1637.1150058755	9	3	110045.6709535187	77969.9969678165	32075.6739857022	0.0000000000	299.7940945607	0.0000000000	1514.0360630925	602.6298756874	17	17	299.7940945607	3|7|11
1	CONDITIONAL_MEAN	1637.1150058755	9	4	95139.8355411660	79807.0885562129	15332.7469849530	0.0000000000	141.6073744448	0.0000000000	1842.0547470497	727.6061660124	18	12	141.6073744448	3|7|9|11
1	CONDITIONAL_MEAN	1637.1150058755	9	5	82939.9736285840	74525.1082002695	8414.8654283144	0.0000000000	70.7064040140	0.0000000000	2137.4466278425	858.5344523905	20	8	70.7064040140	0|3|7|9|11
1	CONDITIONAL_MEAN	1637.1150058755	9	6	74960.1188910031	71176.6994636749	3783.4194273283	0.0000000000	27.0623460003	0.0000000000	2482.2479691813	985.0700945508	20	5	27.0623460003	0|3|6|7|9|11
1	CONDITIONAL_MEAN	1637.1150058755	9	7	68851.2516171204	65338.0642335573	3513.1873835631	0.0000000000	24.9194017844	0.0000000000	2893.4908366556	1115.1056081229	20	4	24.9194017844	0|3|6|7|8|9|11
1	CONDITIONAL_MEAN	1637.1150058755	9	8	63918.3993335864	63049.6484596029	868.7508739835	0.0000000000	5.6072589254	0.0000000000	2990.3846901583	1140.7816339152	20	1	5.6072589254	0|1|3|6|8|9|10|11
1	CONDITIONAL_MEAN	1637.1150058755	9	9	61631.5537273746	60762.8028533911	868.7508739835	0.0000000000	5.6072589254	0.0000000000	3550.0637281119	1346.2442068611	20	1	5.6072589254	0|1|3|6|7|8|9|10|11
2	REALIZED	2083.6705462960	9	2	184776.4685494317	48309.6694159967	136466.7991334350	0.0000000000	1230.7768027040	0.0000000000	954.3570251389	397.1673027416	16	18	1230.7768027040	3|11
2	REALIZED	2083.6705462960	9	3	164399.9258882463	62462.3483024772	101937.5775857689	0.0000000000	904.3491657530	0.0000000000	1282.3757090961	522.1435930665	18	17	904.3491657530	3|9|11
2	REALIZED	2083.6705462960	9	4	147092.7195576665	74569.0470167014	72523.6725409650	0.0000000000	684.4934582014	0.0000000000	1693.6185765704	652.1791066386	19	14	684.4934582014	3|8|9|11
2	REALIZED	2083.6705462960	9	5	133791.4580277340	80440.9995592821	53350.4584684518	0.0000000000	490.7494633673	0.0000000000	2253.2976145241	857.6416795845	19	11	490.7494633673	3|7|8|9|11
2	REALIZED	2083.6705462960	9	6	123050.1410039922	79828.7512331061	43221.3897708860	0.0000000000	378.1974806558	0.0000000000	2431.9983835167	880.4720009883	19	9	378.1974806558	0|1|7|8|9|11
2	REALIZED	2083.6705462960	9	7	112546.0996514432	86431.8656054902	26114.2340459530	0.0000000000	240.7491403060	0.0000000000	2737.8248968366	968.9052107936	20	8	240.7491403060	0|1|5|7|8|9|11
2	REALIZED	2083.6705462960	9	8	103280.4309390566	86757.8250974978	16522.6058415588	0.0000000000	158.6284186833	0.0000000000	3015.9010575740	1076.6193444157	20	8	158.6284186833	0|1|5|7|8|9|10|11
2	REALIZED	2083.6705462960	9	9	97864.3678096048	89093.7847517113	8770.5830578935	0.0000000000	78.5309353714	0.0000000000	3511.0889000930	1308.1417745059	20	5	78.5309353714	0|1|3|5|7|8|9|10|11
2	CONDITIONAL_MEAN	2390.8014182625	9	2	218530.5191987766	57413.5435688544	161116.9756299223	0.0000000000	1436.4443931236	0.0000000000	954.3570251389	397.1673027416	16	20	1436.4443931236	3|11
2	CONDITIONAL_MEAN	2390.8014182625	9	3	194458.1787760522	96896.4362586311	97561.7425174211	0.0000000000	876.7653551700	0.0000000000	1514.0360630925	602.6298756874	17	20	876.7653551700	3|7|11
2	CONDITIONAL_MEAN	2390.8014182625	9	4	174230.9616630689	110818.5671057791	63412.3945572897	0.0000000000	560.5882791485	0.0000000000	1842.0547470497	727.6061660124	18	19	560.5882791485	3|7|9|11
2	CONDITIONAL_MEAN	2390.8014182625	9	5	155114.4633951308	112512.3424295702	42602.1209655605	0.0000000000	360.9458005660	0.0000000000	2137.4466278425	858.5344523905	20	17	360.9458005660	0|3|7|9|11
2	CONDITIONAL_MEAN	2390.8014182625	9	6	139288.7091154439	118137.3249290045	21151.3841864393	0.0000000000	191.9193780292	0.0000000000	2548.6894953168	988.5699659626	20	13	171.7265956613	0|3|7|8|9|11
2	CONDITIONAL_MEAN	2390.8014182625	9	7	127495.8118496923	114536.0970578774	12959.7147918148	0.0000000000	118.4026957289	0.0000000000	2927.1862260357	1111.9944310786	20	9	118.4026957289	0|1|3|7|8|9|11
2	CONDITIONAL_MEAN	2390.8014182625	9	8	118751.8329546452	112450.6797611929	6301.1531934522	0.0000000000	61.1710797322	0.0000000000	3199.3173499755	1203.5388179281	20	6	61.1710797322	0|3|5|6|7|8|9|11
2	CONDITIONAL_MEAN	2390.8014182625	9	9	112212.2838770423	109250.6721385803	2961.6117384620	0.0000000000	27.4732826281	0.0000000000	3477.3935107128	1311.2529515503	20	4	27.4732826281	0|3|5|6|7|8|9|10|11
3	REALIZED	1292.3634913728	8	2	127772.6706973664	34886.3132403282	92886.3574570382	0.0000000000	625.9094632166	0.0000000000	787.1878665771	290.6211629763	15	13	625.9094632166	9|11
3	REALIZED	1292.3634913728	8	3	113235.2414624367	45189.6543464184	68045.5871160183	0.0000000000	460.9867414006	0.0000000000	1198.4307340514	420.6566765484	17	11	460.9867414006	8|9|11
3	REALIZED	1292.3634913728	8	4	99907.2752878092	57543.5455677161	42363.7297200931	0.0000000000	252.4618194616	0.0000000000	1758.1097720051	626.1192494943	18	6	252.4618194616	7|8|9|11
3	REALIZED	1292.3634913728	8	5	92609.8570910054	65537.5060123386	26168.4012540277	903.9498246391	149.3174451642	54.7148160242	2063.1506115787	796.6106223896	19	5	149.3174451642	4|7|8|9|11
3	REALIZED	1292.3634913728	8	6	87663.9945529691	60914.1960633972	25510.2199950020	1239.5784945698	143.2033560971	75.0299490406	2358.5424923715	927.5389087677	19	3	143.2033560971	0|4|7|8|9|11
3	REALIZED	1292.3634913728	8	7	85901.1730690096	59873.1735698230	24602.1265231677	1425.8729760189	137.3421646123	89.5520134455	2677.1548887108	1032.3645384123	20	3	137.3421646123	0|2|4|7|8|9|11
3	REALIZED	1292.3634913728	8	8	85063.1239451181	60034.4022316418	23512.1296679526	1516.5920455237	130.2609631145	97.3737427238	2982.9814020306	1120.7977482175	20	2	130.2609631145	0|2|4|5|7|8|9|11
3	REALIZED	1292.3634913728	8	9	85398.7751523804	59650.0458355449	23429.8185021356	2318.9108146999	129.7296945622	163.7032799450	3333.7277801670	1263.5031371504	20	2	129.7296945622	0|1|2|4|7|8|9|10|11
3	CONDITIONAL_MEAN	1591.8214963140	9	2	127437.2676711712	55634.0250772971	71803.2425938740	0.0000000000	660.2011143894	0.0000000000	954.3570251389	397.1673027416	16	17	660.2011143894	3|11
3	CONDITIONAL_MEAN	1591.8214963140	9	3	107965.0139486625	75011.4027800068	32953.6111686556	0.0000000000	296.9697701619	0.0000000000	1514.0360630925	602.6298756874	17	15	296.9697701619	3|7|11
3	CONDITIONAL_MEAN	1591.8214963140	9	4	91484.1029366540	75935.3599668719	15548.7429697821	0.0000000000	139.4110563148	0.0000000000	1642.2587853235	627.0120223002	19	12	139.4110563148	0|7|9|11
3	CONDITIONAL_MEAN	1591.8214963140	9	5	80297.6953302348	71895.2068240467	8402.4885061882	0.0000000000	68.3765800718	0.0000000000	2137.4466278425	858.5344523905	20	8	68.3765800718	0|3|7|9|11
3	CONDITIONAL_MEAN	1591.8214963140	9	6	72974.3384233606	68767.0255558892	4207.3128674714	0.0000000000	38.1210041283	0.0000000000	2415.5227885799	966.2485860126	20	6	38.1210041283	0|3|7|9|10|11
3	CONDITIONAL_MEAN	1591.8214963140	9	7	66306.3585092418	63547.0857881643	2759.2727210774	0.0000000000	20.9312975436	0.0000000000	2927.1862260357	1111.9944310786	20	4	20.9312975436	0|1|3|7|8|9|11
3	CONDITIONAL_MEAN	1591.8214963140	9	8	61373.1575604919	60801.9992096727	571.1583508191	0.0000000000	3.6864800443	0.0000000000	2990.3846901583	1140.7816339152	20	1	3.6864800443	0|1|3|6|8|9|10|11
3	CONDITIONAL_MEAN	1591.8214963140	9	9	59100.9316984187	59100.9316984187	0.0000000000	0.0000000000	0.0000000000	0.0000000000	3523.8747831124	1324.5341943453	20	0	0.0000000000	0|1|2|3|7|8|9|10|11
4	REALIZED	1861.8071150180	9	2	154090.9961122854	54471.2182643731	99619.7778479123	0.0000000000	943.8529671729	0.0000000000	954.3570251389	397.1673027416	16	17	943.8529671729	3|11
4	REALIZED	1861.8071150180	9	3	133326.8263721169	67125.5817111169	66201.2446610000	0.0000000000	651.9013303637	0.0000000000	1249.7489059316	528.0955891196	19	16	651.9013303637	0|3|11
4	REALIZED	1861.8071150180	9	4	117112.9169025220	73184.5605627739	43928.3563397481	0.0000000000	401.8801233070	0.0000000000	1809.4279438853	733.5581620655	20	13	401.8801233070	0|3|7|11
4	REALIZED	1861.8071150180	9	5	104816.1868183430	82955.0976219423	21861.0891964007	0.0000000000	262.5253245120	0.0000000000	1900.3767605902	743.0644410852	20	12	262.5253245120	0|3|5|6|11
4	REALIZED	1861.8071150180	9	6	94442.2197776524	81012.9017194335	13429.3180582188	0.0000000000	167.6964684685	0.0000000000	2178.4529213276	850.7785747074	20	8	167.6964684685	0|3|5|6|10|11
4	REALIZED	1861.8071150180	9	7	87361.4154885484	79591.6592083322	7769.7562802163	0.0000000000	89.7737409925	0.0000000000	2497.0653176669	955.6042043519	20	5	89.7737409925	0|2|3|5|6|10|11
4	REALIZED	1861.8071150180	9	8	82042.2463326089	81632.6239964935	409.6223361154	0.0000000000	2.8396000889	0.0000000000	2825.0840016241	1080.5804946769	20	2	2.8396000889	0|2|3|5|6|9|10|11
4	REALIZED	1861.8071150180	9	9	77846.4645191026	77316.3997070670	530.0648120356	0.0000000000	3.4212462253	0.0000000000	3296.2112034781	1229.2148437204	20	1	3.4212462253	0|1|3|5|6|8|9|10|11
4	CONDITIONAL_MEAN	1663.6590493040	9	2	133863.3096726024	57370.4291912813	76492.8804813211	0.0000000000	710.3106537138	0.0000000000	954.3570251389	397.1673027416	16	19	710.3106537138	3|11
4	CONDITIONAL_MEAN	1663.6590493040	9	3	113796.8886653314	77943.6439482953	35853.2447170361	0.0000000000	326.9575698991	0.0000000000	1514.0360630925	602.6298756874	17	17	326.9575698991	3|7|11
4	CONDITIONAL_MEAN	1663.6590493040	9	4	98252.5145756328	78392.7594664514	19859.7551091813	0.0000000000	181.7059978985	0.0000000000	1642.2587853235	627.0120223002	19	14	181.7059978985	0|7|9|11
4	CONDITIONAL_MEAN	1663.6590493040	9	5	85999.3644365302	76380.6194477450	9618.7449887852	0.0000000000	80.5802404597	0.0000000000	2137.4466278425	858.5344523905	20	8	80.5802404597	0|3|7|9|11
4	CONDITIONAL_MEAN	1663.6590493040	9	6	78229.5892311088	74033.1443870697	4196.4448440392	0.0000000000	31.0188576885	0.0000000000	2482.2479691813	985.0700945508	20	5	31.0188576885	0|3|6|7|9|11
4	CONDITIONAL_MEAN	1663.6590493040	9	7	70969.7922688877	67453.8018554172	3515.9904134705	0.0000000000	26.8696105917	0.0000000000	2927.1862260357	1111.9944310786	20	4	26.8696105917	0|1|3|7|8|9|11
4	CONDITIONAL_MEAN	1663.6590493040	9	8	65446.7286825837	64632.9487905448	813.7798920389	0.0000000000	5.2524546444	0.0000000000	2990.3846901583	1140.7816339152	20	1	5.2524546444	0|1|3|6|8|9|10|11
4	CONDITIONAL_MEAN	1663.6590493040	9	9	63188.5597083899	62374.7798163509	813.7798920389	0.0000000000	5.2524546444	0.0000000000	3550.0637281119	1346.2442068611	20	1	5.2524546444	0|1|3|6|7|8|9|10|11
5	REALIZED	1729.0567843884	9	2	145798.7949501349	59994.9376474029	85803.8573027319	0.0000000000	816.5204747600	0.0000000000	1018.8482205735	371.1074455972	16	17	816.5204747600	7|11
5	REALIZED	1729.0567843884	9	3	125699.9537743965	70325.3439263247	55374.6098480718	0.0000000000	555.6073292972	0.0000000000	1314.2401013663	502.0357319753	19	16	555.6073292972	0|7|11
5	REALIZED	1729.0567843884	9	4	108936.2896498286	76793.4805874901	32142.8090623385	0.0000000000	298.1893717175	0.0000000000	1809.4279438853	733.5581620655	20	12	298.1893717175	0|3|7|11
5	REALIZED	1729.0567843884	9	5	95758.4438223613	76078.9903714837	19679.4534508775	0.0000000000	179.8147740998	0.0000000000	2137.4466278425	858.5344523905	20	7	179.8147740998	0|3|7|9|11
5	REALIZED	1729.0567843884	9	6	85291.5912756907	77339.5831876534	7952.0080880374	0.0000000000	75.5950447300	0.0000000000	2443.2731411623	946.9676621957	20	6	75.5950447300	0|3|5|7|9|11
5	REALIZED	1729.0567843884	9	7	78560.9645471943	76435.1384550817	2125.8260921126	0.0000000000	25.9305971154	0.0000000000	2721.3493018997	1054.6817958179	20	4	25.9305971154	0|3|5|7|9|10|11
5	REALIZED	1729.0567843884	9	8	72339.9166261882	71042.6009876585	1297.3156385297	0.0000000000	8.3733840287	0.0000000000	3233.0127393556	1200.4276408838	20	1	8.3733840287	0|1|3|5|7|8|9|11
5	REALIZED	1729.0567843884	9	9	67770.8690631227	67447.2017112545	323.6673518683	0.0000000000	2.0890760539	0.0000000000	3511.0889000930	1308.1417745059	20	1	2.0890760539	0|1|3|5|7|8|9|10|11
5	CONDITIONAL_MEAN	1604.2921915804	9	2	128495.9365312905	57370.6832189927	71125.2533122978	0.0000000000	650.9378531964	0.0000000000	954.3570251389	397.1673027416	16	19	650.9378531964	3|11
5	CONDITIONAL_MEAN	1604.2921915804	9	3	108468.4731843003	79542.3800815995	28926.0931027009	0.0000000000	266.0776631431	0.0000000000	1514.0360630925	602.6298756874	17	14	266.0776631431	3|7|11
5	CONDITIONAL_MEAN	1604.2921915804	9	4	93074.0259852300	79213.4857995437	13860.5401856863	0.0000000000	123.8750660877	0.0000000000	1642.2587853235	627.0120223002	19	10	123.8750660877	0|7|9|11
5	CONDITIONAL_MEAN	1604.2921915804	9	5	79690.1145540182	72888.0050982895	6802.1094557287	0.0000000000	54.5289138265	0.0000000000	2137.4466278425	858.5344523905	20	5	54.5289138265	0|3|7|9|11
5	CONDITIONAL_MEAN	1604.2921915804	9	6	72619.2225052037	69528.1093459122	3091.1131592916	0.0000000000	20.6726409487	0.0000000000	2482.2479691813	985.0700945508	20	3	20.6726409487	0|3|6|7|9|11
5	CONDITIONAL_MEAN	1604.2921915804	9	7	66747.6854117211	63981.6074552907	2766.0779564304	0.0000000000	18.0951068478	0.0000000000	2893.4908366556	1115.1056081229	20	2	18.0951068478	0|3|6|7|8|9|11
5	CONDITIONAL_MEAN	1604.2921915804	9	8	62016.8033481484	61269.9322333680	746.8711147804	0.0000000000	4.8205991497	0.0000000000	2990.3846901583	1140.7816339152	20	1	4.8205991497	0|1|3|6|8|9|10|11
5	CONDITIONAL_MEAN	1604.2921915804	9	9	60012.9619653918	60012.9619653918	0.0000000000	0.0000000000	0.0000000000	0.0000000000	3296.2112034781	1229.2148437204	20	0	0.0000000000	0|1|3|5|6|8|9|10|11
6	REALIZED	2453.1620321485	9	2	230829.1214931711	57413.5435688544	173415.5779243167	0.0000000000	1498.8050070096	0.0000000000	954.3570251389	397.1673027416	16	20	1498.8050070096	3|11
6	REALIZED	2453.1620321485	9	3	206756.7810704467	96896.4362586311	109860.3448118155	0.0000000000	939.1259690560	0.0000000000	1514.0360630925	602.6298756874	17	20	939.1259690560	3|7|11
6	REALIZED	2453.1620321485	9	4	187078.6943303419	105946.8256277463	81131.8687025955	0.0000000000	693.7669621761	0.0000000000	1809.4279438853	733.5581620655	20	17	693.7669621761	0|3|7|11
6	REALIZED	2453.1620321485	9	5	169401.2851706467	113704.8985698618	55696.3866007848	0.0000000000	495.9218071978	0.0000000000	2137.4466278425	858.5344523905	20	13	495.9218071978	0|3|7|9|11
6	REALIZED	2453.1620321485	9	6	155691.0138871741	110590.3056112772	45100.7082758967	0.0000000000	404.5943500600	0.0000000000	2515.9433585614	981.9589175064	20	10	404.5943500600	0|1|3|7|9|11
6	REALIZED	2453.1620321485	9	7	144520.0697089633	116660.8943343527	27859.1753746105	0.0000000000	254.4710906408	0.0000000000	2788.0744825011	1073.5033043560	20	8	254.4710906408	0|3|5|6|7|9|11
6	REALIZED	2453.1620321485	9	8	133666.7636193826	113875.2461267928	19791.5174925898	0.0000000000	181.5625802456	0.0000000000	3199.3173499755	1203.5388179281	20	7	181.5625802456	0|3|5|6|7|8|9|11
6	REALIZED	2453.1620321485	9	9	126024.4190065156	114162.8901818240	11861.5288246916	0.0000000000	110.5181266965	0.0000000000	3477.3935107128	1311.2529515503	20	6	110.5181266965	0|3|5|6|7|8|9|10|11
6	CONDITIONAL_MEAN	2372.1237269450	9	2	216215.8984510271	57413.5435688544	158802.3548821725	0.0000000000	1417.7667018061	0.0000000000	954.3570251389	397.1673027416	16	20	1417.7667018061	3|11
6	CONDITIONAL_MEAN	2372.1237269450	9	3	192143.5580283026	96896.4362586311	95247.1217696714	0.0000000000	858.0876638525	0.0000000000	1514.0360630925	602.6298756874	17	20	858.0876638525	3|7|11
6	CONDITIONAL_MEAN	2372.1237269450	9	4	171851.8919810554	110932.0055372673	60919.8864437880	0.0000000000	538.4717862242	0.0000000000	1842.0547470497	727.6061660124	18	19	538.4717862242	3|7|9|11
6	CONDITIONAL_MEAN	2372.1237269450	9	5	152795.1678169073	112229.9937557850	40565.1740611222	0.0000000000	342.0664876740	0.0000000000	2137.4466278425	858.5344523905	20	17	342.0664876740	0|3|7|9|11
6	CONDITIONAL_MEAN	2372.1237269450	9	6	137094.1862690150	117373.7627713653	19720.4234976496	0.0000000000	175.0052838891	0.0000000000	2548.6894953168	988.5699659626	20	13	167.1331912226	0|3|7|8|9|11
6	CONDITIONAL_MEAN	2372.1237269450	9	7	125785.0568949664	112877.5437509206	12907.5131440457	0.0000000000	112.1232991606	0.0000000000	2927.1862260357	1111.9944310786	20	10	112.1232991606	0|1|3|7|8|9|11
6	CONDITIONAL_MEAN	2372.1237269450	9	8	116743.6912944229	111272.5576351522	5471.1336592706	0.0000000000	49.6759462558	0.0000000000	3199.3173499755	1203.5388179281	20	6	49.6759462558	0|3|5|6|7|8|9|11
6	CONDITIONAL_MEAN	2372.1237269450	9	9	110262.8630201624	107589.8736260706	2672.9893940918	0.0000000000	25.4874007309	0.0000000000	3477.3935107128	1311.2529515503	20	4	25.4874007309	0|3|5|6|7|8|9|10|11
7	REALIZED	1938.0415281479	9	2	164192.0521269745	47358.3114434246	116833.7406835499	0.0000000000	1096.9297389437	0.0000000000	954.3570251389	397.1673027416	16	17	1096.9297389437	3|11
7	REALIZED	1938.0415281479	9	3	144831.5123140533	73211.9694984790	71619.5428155741	0.0000000000	699.7073805736	0.0000000000	1346.8669045307	496.0837359222	17	17	699.7073805736	7|9|11
7	REALIZED	1938.0415281479	9	4	127205.3557475024	74209.5670458390	52995.7887016633	0.0000000000	520.1325943442	0.0000000000	1642.2587853235	627.0120223002	19	14	520.1325943442	0|7|9|11
7	REALIZED	1938.0415281479	9	5	112153.5201894615	78310.8659039901	33842.6542854714	0.0000000000	379.2567978098	0.0000000000	2053.5016527978	757.0475358724	19	8	379.2567978098	0|7|8|9|11
7	REALIZED	1938.0415281479	9	6	100364.1819264557	87833.2272746954	12530.9546517602	0.0000000000	124.1400299236	0.0000000000	2531.3737752615	965.3558132067	19	5	124.1400299236	3|7|8|9|10|11
7	REALIZED	1938.0415281479	9	7	90972.8849597057	83500.6048372621	7472.2801224435	0.0000000000	73.9005202513	0.0000000000	2826.7656560542	1096.2840995847	20	4	73.9005202513	0|3|7|8|9|10|11
7	REALIZED	1938.0415281479	9	8	85347.6122903462	80924.7626085904	4422.8496817558	0.0000000000	41.5862288157	0.0000000000	3205.2623867731	1219.7085647007	20	4	41.5862288157	0|1|3|7|8|9|10|11
7	REALIZED	1938.0415281479	9	9	81073.6165606161	79423.2035742462	1642.0919585268	8.3210278430	14.2077122388	0.5036601536	3510.3032263468	1390.1999375961	20	2	14.2077122388	0|1|3|4|7|8|9|10|11
7	CONDITIONAL_MEAN	1750.9853987465	9	2	146360.7562775921	56139.0664292401	90221.6898483521	0.0000000000	813.6590124865	0.0000000000	954.3570251389	397.1673027416	16	18	813.6590124865	3|11
7	CONDITIONAL_MEAN	1750.9853987465	9	3	126378.9355122090	79055.4938624775	47323.4416497315	0.0000000000	421.3343684491	0.0000000000	1514.0360630925	602.6298756874	17	16	421.3343684491	3|7|11
7	CONDITIONAL_MEAN	1750.9853987465	9	4	108845.0634144673	85318.8117280765	23526.2516863908	0.0000000000	222.1215956788	0.0000000000	1642.2587853235	627.0120223002	19	12	222.1215956788	0|7|9|11
7	CONDITIONAL_MEAN	1750.9853987465	9	5	95149.1616262985	83451.7291359091	11697.4324903894	0.0000000000	97.3922782781	0.0000000000	2137.4466278425	858.5344523905	20	8	97.3922782781	0|3|7|9|11
7	CONDITIONAL_MEAN	1750.9853987465	9	6	85236.3747082099	79398.9306539458	5837.4440542641	0.0000000000	52.0915649963	0.0000000000	2415.5227885799	966.2485860126	20	6	52.0915649963	0|3|7|9|10|11
7	CONDITIONAL_MEAN	1750.9853987465	9	7	76885.3564779620	71817.7586539515	5067.5978240104	0.0000000000	45.7746380794	0.0000000000	2826.7656560542	1096.2840995847	20	4	45.7746380794	0|3|7|8|9|10|11
7	CONDITIONAL_MEAN	1750.9853987465	9	8	71416.6039140951	69122.7267208408	2293.8771932543	0.0000000000	19.4003258201	0.0000000000	3205.2623867731	1219.7085647007	20	2	19.4003258201	0|1|3|7|8|9|10|11
7	CONDITIONAL_MEAN	1750.9853987465	9	9	68568.3155430888	68568.3155430889	0.0000000000	0.0000000000	0.0000000000	0.0000000000	3523.8747831124	1324.5341943453	20	0	0.0000000000	0|1|2|3|7|8|9|10|11
8	REALIZED	3819.3341150748	9	2	380503.3344614750	53030.6522090892	327472.6822523859	0.0000000000	2911.6729683623	0.0000000000	954.3570251389	397.1673027416	16	19	2911.6729683623	3|11
