replication	volatility	capacity_scale	method	status	certified	objective	gap	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty	capacity_utilization
3	LOW	0.60	CSAA	Optimal	true	92642.3161660209	0.000000000	1.250774	9	0|1|4|5|6|7|8|9|10	92454.9731103570	15482.1093418729	122279.3874116827	131804.2521719994	151262.1036541291	0.0328694859	15.9115847142	0.7044597993
3	MEDIUM	1.00	D	Optimal	true	66873.6583878676	0.000000000	0.006220	9	0|1|4|5|6|7|8|9|10	77338.7187760358	26119.2108071801	127352.8415318421	156349.2554884498	211418.0017038260	0.0211517676	635.7730325645	0.4233259770
3	MEDIUM	1.00	SAA	Optimal	true	76492.6740194429	0.000000000	0.697685	9	0|1|4|5|6|7|8|9|10	77338.7187760358	26119.2108071801	127352.8415318421	156349.2554884498	211418.0017038260	0.0211517676	635.7730325645	0.4233259770
3	MEDIUM	1.00	CSAA	Optimal	true	77275.4477426148	0.000000000	0.534180	9	0|1|4|5|6|7|8|9|10	77338.7187760358	26119.2108071801	127352.8415318421	156349.2554884498	211418.0017038260	0.0211517676	635.7730325645	0.4233259770
3	MEDIUM	0.75	D	Optimal	true	74948.2304177080	0.000000000	0.004696	9	0|1|4|5|6|7|8|9|10	89657.9506000077	32622.4750240457	153192.0093480510	185088.1612116954	238393.2391460954	0.0540317864	528.5492783229	0.5454749844
3	MEDIUM	0.75	SAA	Optimal	true	89207.6702567007	0.000000000	0.924607	9	0|1|4|5|6|7|8|9|10	89657.9506000077	32622.4750240457	153192.0093480510	185088.1612116954	238393.2391460954	0.0540317864	528.5492783229	0.5454749844
3	MEDIUM	0.75	CSAA	Optimal	true	90177.4204860107	0.000000000	0.889523	9	0|1|4|5|6|7|8|9|10	89657.9506000077	32622.4750240457	153192.0093480510	185088.1612116954	238393.2391460954	0.0540317864	528.5492783229	0.5454749844
3	MEDIUM	0.60	D	Optimal	true	86867.1733054276	0.000000000	0.004465	9	0|1|4|5|6|7|8|9|10	102557.1196189150	37909.9990368218	174987.4255683553	208954.7175017405	266299.9328694233	0.0998888427	519.7555532780	0.6487904567
3	MEDIUM	0.60	SAA	Optimal	true	102063.2458887445	0.000000000	1.066440	9	0|1|4|5|6|7|8|9|10	102557.1196189150	37909.9990368218	174987.4255683553	208954.7175017405	266299.9328694233	0.0998888427	519.7555532780	0.6487904567
3	MEDIUM	0.60	CSAA	Optimal	true	103125.9819922545	0.000000000	1.165446	9	0|1|4|5|6|7|8|9|10	102557.1196189150	37909.9990368218	174987.4255683553	208954.7175017405	266299.9328694233	0.0998888427	519.7555532780	0.6487904567
3	HIGH	1.00	D	Optimal	true	67301.5141126310	0.000000000	0.004227	9	0|1|4|5|6|7|8|9|10	88201.3803306729	47890.9834148563	169922.3277302487	239294.9175571359	341137.6315707149	0.0705475912	1445.0629063800	0.3984789457
3	HIGH	1.00	SAA	Optimal	true	88435.8838182283	6.095854329e-05	0.711691	9	0|1|4|5|6|7|8|9|10	88201.3803306729	47890.9834148563	169922.3277302487	239294.9175571359	341137.6315707149	0.0705475912	1445.0629063800	0.3984789457
3	HIGH	1.00	CSAA	Optimal	true	87869.3429056649	0.000000000	0.647994	9	0|1|4|5|6|7|8|9|10	88201.3803306729	47890.9834148563	169922.3277302487	239294.9175571359	341137.6315707149	0.0705475912	1445.0629063800	0.3984789457
3	HIGH	0.75	D	Optimal	true	75802.4608906317	6.436805321e-05	0.005959	9	0|1|4|5|7|8|9|10|11	103217.5560152305	56597.2726434028	202408.9191373667	274948.8127273734	381952.4333416499	0.1240319425	1734.8593723383	0.5018946689
3	HIGH	0.75	SAA	Optimal	true	102779.1461846136	0.000000000	0.953076	9	0|1|4|5|6|7|8|9|10	101822.7334027061	55717.2537303859	201924.5726330426	272609.8285331455	374988.8785573624	0.1248362685	1469.2758189780	0.5002720853
3	HIGH	0.75	CSAA	Optimal	true	101839.9509465457	5.998421776e-05	0.738949	9	0|1|4|5|6|7|8|9|10	101822.7334027061	55717.2537303859	201924.5726330426	272609.8285331455	374988.8785573624	0.1248362685	1469.2758189780	0.5002720853
3	HIGH	0.60	D	Optimal	true	88331.4641255960	0.000000000	0.003900	9	0|1|4|5|7|8|9|10|11	116129.8927996323	62254.2607755396	222911.5663555867	300439.5242081819	412937.0150808475	0.1808116194	1931.2344949615	0.5867027307
3	HIGH	0.60	SAA	Optimal	true	115735.3730841672	0.000000000	1.169028	9	0|1|4|5|6|7|8|9|10	114459.0247370726	61406.6000447078	222820.6175571876	297917.2994963718	407729.2338403208	0.1810037109	1654.2841515484	0.5852061830
3	HIGH	0.60	CSAA	Optimal	true	114647.9743636540	0.000000000	0.985010	9	0|1|4|5|6|7|8|9|10	114459.0247370726	61406.6000447078	222820.6175571876	297917.2994963718	407729.2338403208	0.1810037109	1654.2841515484	0.5852061830
