replication	mqc_scale	sample	demand_type	total_demand	selected_count	selected	objective	transport_cost	spot_cost	mqc_penalty	spot_quantity	mqc_shortfall	status	certified	gap
1	1.50	42	CONDITIONAL_MEAN	2067.2902822891	8	1|2|3|4|5|8|9|10	115962.7967900206	114212.9956145933	1749.8011754274	0.0000000000	15.4988451906	0.0000000000	Optimal	true	0.000000000
1	1.50	43	REALIZED	2020.9660718379	7	1|2|3|4|6|7|8	150041.1237508357	105981.1946899677	44059.9290608681	0.0000000000	372.0507793750	0.0000000000	Optimal	true	0.000000000
1	1.50	43	CONDITIONAL_MEAN	1851.5838295057	8	1|2|3|4|5|8|9|10	102548.5834589087	102548.5834589087	0.0000000000	0.0000000000	0.0000000000	0.0000000000	Optimal	true	0.000000000
1	1.50	44	REALIZED	1504.6382730331	6	2|3|4|5|8|9	80809.0673513009	66916.9750583958	13892.0922929050	0.0000000000	222.7734605554	0.0000000000	Optimal	true	0.000000000
1	1.50	44	CONDITIONAL_MEAN	1950.0550481859	8	1|2|3|4|5|8|9|10	108955.6136152508	106815.5171528294	2140.0964624214	0.0000000000	11.8350788651	0.0000000000	Optimal	true	0.000000000
1	1.50	45	REALIZED	1337.3583522282	6	2|3|4|5|8|9	72301.3794345105	71535.0457294021	766.3337051084	0.0000000000	8.6344772879	0.0000000000	Optimal	true	0.000000000
1	1.50	45	CONDITIONAL_MEAN	1614.2690173162	7	1|2|3|4|5|8|9	86994.5154291207	85585.0469034399	1409.4685256808	0.0000000000	16.3056832961	0.0000000000	Optimal	true	0.000000000
1	1.50	46	REALIZED	1901.2639534825	8	2|3|4|5|7|8|9|11	117915.8080637073	112715.6102046995	5200.1978590078	0.0000000000	54.2016510475	0.0000000000	Optimal	true	0.000000000
1	1.50	46	CONDITIONAL_MEAN	1889.2690897606	8	1|2|3|4|5|8|9|10	104185.2150349067	104185.2150349067	0.0000000000	0.0000000000	0.0000000000	0.0000000000	Optimal	true	0.000000000
1	1.50	47	REALIZED	2003.1203516105	8	2|3|4|5|7|8|9|11	140722.4331638856	114826.1966805853	25896.2364833003	0.0000000000	162.4078898181	0.0000000000	Optimal	true	0.000000000
1	1.50	47	CONDITIONAL_MEAN	2300.6242732980	9	1|2|3|4|5|7|8|9|10	130939.2259315326	128822.4558580563	2116.7700734762	0.0000000000	23.3660477269	0.0000000000	Optimal	true	0.000000000
1	1.50	48	REALIZED	1578.5885019964	7	2|3|4|5|7|8|9	92916.4307618183	88461.8868365672	3672.4399094120	782.1040158391	30.5964727118	35.6284996328	Optimal	true	0.000000000
1	1.50	48	CONDITIONAL_MEAN	1992.7556723381	8	1|2|3|4|5|8|9|10	111526.2547158233	109447.3324883835	2078.9222274399	0.0000000000	13.9942625925	0.0000000000	Optimal	true	0.000000000
1	1.50	49	REALIZED	2914.8067891298	9	0|1|2|3|4|5|7|8|9	169280.4327781442	156645.0421614263	12635.3906167180	0.0000000000	132.9575454911	0.0000000000	Optimal	true	0.000000000
1	1.50	49	CONDITIONAL_MEAN	2052.5280758736	8	1|2|3|4|5|8|9|10	114837.2876923925	111609.8454096558	3227.4422827366	0.0000000000	18.6846732238	0.0000000000	Optimal	true	0.000000000
1	1.50	50	REALIZED	1206.4118505530	6	2|3|4|5|6|9	74249.0815740415	68681.1085885453	3355.2659463793	2212.7070391169	20.8351853213	84.6001971493	Optimal	true	0.000000000
1	1.50	50	CONDITIONAL_MEAN	1302.9942922309	6	2|3|4|5|8|9	68843.4519911563	68214.5605146496	628.8914765067	0.0000000000	4.5441136944	0.0000000000	Optimal	true	0.000000000
1	1.50	51	REALIZED	1892.0639310019	8	0|2|3|4|5|8|9|10	106925.0203715192	98822.0715868986	8102.9487846207	0.0000000000	75.6926402718	0.0000000000	Optimal	true	0.000000000
1	1.50	51	CONDITIONAL_MEAN	1902.0641462537	8	1|2|3|4|5|8|9|10	104206.1668644076	104206.1668644076	0.0000000000	0.0000000000	0.0000000000	0.0000000000	Optimal	true	0.000000000
1	1.50	52	REALIZED	2103.0304090620	8	2|3|4|5|6|7|8|9	124535.8570258488	102130.1651508245	22405.6918750243	0.0000000000	193.4054338165	0.0000000000	Optimal	true	0.000000000
1	1.50	52	CONDITIONAL_MEAN	2103.1933452551	9	1|2|3|4|5|7|8|9|10	117822.9294872629	117347.0948158669	475.8346713959	0.0000000000	6.5804566766	0.0000000000	Optimal	true	0.000000000
1	1.50	53	REALIZED	1712.1910516202	7	2|3|4|5|8|9|10	96284.3934348732	94213.1713704387	2071.2220644345	0.0000000000	23.4680370646	0.0000000000	Optimal	true	0.000000000
1	1.50	53	CONDITIONAL_MEAN	1709.7383004605	7	2|3|4|5|8|9|10	92892.5976301946	91888.5739489404	1004.0236812542	0.0000000000	10.9201999263	0.0000000000	Optimal	true	0.000000000
1	1.50	54	REALIZED	2111.1558260507	9	2|3|4|5|6|7|8|9|10	117816.6290751069	116076.2490247301	1740.3800503767	0.0000000000	19.9032812771	0.0000000000	Optimal	true	0.000000000
1	1.50	54	CONDITIONAL_MEAN	2186.7219667879	9	1|2|3|4|5|7|8|9|10	123758.4705194261	122354.6070947182	1403.8634247078	0.0000000000	15.7318945603	0.0000000000	Optimal	true	0.000000000
1	1.50	55	REALIZED	2261.9084604577	8	2|3|4|5|7|8|9|11	154564.9655194423	115906.2971309239	38658.6683885186	0.0000000000	277.2835203960	0.0000000000	Optimal	true	0.000000000
1	1.50	55	CONDITIONAL_MEAN	1919.8852899403	8	1|2|3|4|5|8|9|10	104730.5984515571	104691.7571268694	38.8413246877	0.0000000000	0.2147987948	0.0000000000	Optimal	true	0.000000000
1	1.50	56	REALIZED	1843.0766930689	8	1|2|3|4|5|8|9|10	99409.9936605634	95621.3991591571	3788.5945014063	0.0000000000	50.2143352544	0.0000000000	Optimal	true	0.000000000
1	1.50	56	CONDITIONAL_MEAN	1781.4425964069	8	1|2|3|4|5|8|9|10	97498.9031978170	97498.9031978170	0.0000000000	0.0000000000	0.0000000000	0.0000000000	Optimal	true	0.000000000
