replication	volatility	capacity_scale	method	lambda	status	certified	objective	gap	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty	capacity_utilization
2	LOW	0.75	C_CHI2	5.00	PrimalFeasible	true	132357.5036004336	0.000000000	5.100804	9	0|1|4|5|6|8|9|10|11	107603.8989818735	18063.6372666715	139495.9533046971	148994.1748673496	171271.6298986813	0.0479396368	135.6698088139	0.7320253562
2	LOW	0.60	C_CHI2	0.50	PrimalFeasible	true	109430.1324567723	0.000000000	11.608545	9	0|1|4|5|6|8|9|10|11	125578.3866122404	20971.0631871218	162189.7783292114	172442.9025742995	195338.5507907529	0.1190253315	202.4623912500	0.8467107503
2	LOW	0.60	C_CHI2	5.00	PrimalFeasible	true	153886.2833475582	0.000000000	4.795429	9	0|3|4|5|6|8|9|10|11	125563.6180356328	20852.4802480086	162240.4154304648	172119.1797663477	194650.8031471754	0.1283477576	249.3818037763	0.8338106111
2	MEDIUM	1.00	C_CHI2	0.50	PrimalFeasible	true	93520.5813583795	0.000000000	7.787753	9	0|2|3|4|6|8|9|10|11	101069.0428410681	36850.5819671794	169687.8908376796	195141.9406909177	276407.0826602978	0.0680457567	362.0812365038	0.5442067843
2	MEDIUM	1.00	C_CHI2	5.00	PrimalFeasible	true	144467.6421628096	0.000000000	5.114747	9	0|1|2|4|6|8|9|10|11	101637.1775000020	36713.1065722024	169738.9441232703	195269.4320297157	277420.5535369787	0.0707596018	189.6005470864	0.5452383119
2	MEDIUM	0.75	C_CHI2	0.50	PrimalFeasible	true	109543.6901716504	0.000000000	8.055242	9	0|3|4|5|6|8|9|10|11	119131.7744208753	42347.7052835620	198161.6716717631	225216.6931086021	308990.3569171871	0.1372216190	793.3190522765	0.6584567184
2	MEDIUM	0.75	C_CHI2	5.00	PrimalFeasible	true	172180.9627084163	0.000000000	5.104998	9	0|1|2|4|6|8|9|10|11	120021.2771714247	42794.7666978021	199365.1596008712	226341.5567650934	312715.4962470769	0.1441119554	219.1988724105	0.6695977396
2	MEDIUM	0.60	C_CHI2	0.50	PrimalFeasible	true	124101.7696691327	0.000000000	7.951935	9	0|3|4|5|6|8|9|10|11	135180.7610685044	46429.3993079374	219436.6938632288	249314.6270267368	333291.8751393911	0.2122372039	925.8388118231	0.7515077409
2	MEDIUM	0.60	C_CHI2	5.00	PrimalFeasible	true	193596.7753507953	0.000000000	5.169627	9	0|2|4|5|6|8|9|10|11	135214.6789519717	46210.8328508749	220184.5767385388	248870.7769958291	334960.5475239558	0.1992967926	866.1990088740	0.7451052518
2	HIGH	1.00	C_CHI2	0.50	PrimalFeasible	true	113444.3423826747	0.000000000	6.268368	9	0|2|3|4|6|8|9|10|11	113543.2164967220	59720.1549686285	223716.6664862831	276660.2527188601	444185.0619976335	0.1398656173	816.3965688088	0.5003260517
