replication	market_structure	sample	demand_type	total_demand	free_count	fixed_count	total_cost	transport_cost	spot_cost	mqc_penalty	spot_quantity	mqc_shortfall	selected_capacity	selected_mqc	covered_lanes	capacity_short_lanes	lane_capacity_shortfall	selected
1	PERSISTENT_WIDE_MQC_1.25	0	REALIZED	2294.5609342973	9	9	151097.5882848709	139238.5249693976	11859.0633154734	0.0000000000	77.5965751817	0.0000000000	3460.8535244942	1661.3825319397	20	6	77.5965751817	2|3|4|5|7|8|9|10|11
1	PERSISTENT_WIDE_MQC_1.50	0	REALIZED	2294.5609342973	9	2	234029.1799003310	53975.3806876597	180053.7992126714	0.0000000000	1392.5661964664	0.0000000000	906.4307099933	542.3369154935	15	19	1392.5661964664	3|8
1	PERSISTENT_WIDE_MQC_1.50	0	REALIZED	2294.5609342973	9	3	209475.6642387996	89053.6622837657	120422.0019550338	0.0000000000	898.8201140757	0.0000000000	1466.1097479470	850.5307749123	15	16	898.8201140757	3|7|8
1	PERSISTENT_WIDE_MQC_1.50	0	REALIZED	2294.5609342973	9	4	190103.9052159846	102634.9737148513	87468.9315011335	0.0000000000	646.5122220638	0.0000000000	1771.1505875206	1106.2678342553	19	13	646.5122220638	3|4|7|8
1	PERSISTENT_WIDE_MQC_1.50	0	REALIZED	2294.5609342973	9	5	173924.9489345153	112940.1317042532	60984.8172302621	0.0000000000	441.8853459744	0.0000000000	2076.9771008404	1238.9176489631	20	9	441.8853459744	3|4|5|7|8
1	PERSISTENT_WIDE_MQC_1.50	0	REALIZED	2294.5609342973	9	6	165092.6699804239	124440.9552042608	40651.7147761631	0.0000000000	287.8164068469	0.0000000000	2404.9957847977	1426.3820844506	20	6	287.8164068469	3|4|5|7|8|9
1	PERSISTENT_WIDE_MQC_1.50	0	REALIZED	2294.5609342973	9	7	158170.3575095394	137235.0662436780	20935.2912658613	0.0000000000	159.7162874077	0.0000000000	2864.1649674175	1674.8493934276	20	6	159.7162874077	3|4|5|7|8|9|11
1	PERSISTENT_WIDE_MQC_1.50	0	REALIZED	2294.5609342973	9	8	153847.0859442825	136124.6086584324	17722.4772858501	0.0000000000	131.8422541720	0.0000000000	3182.7773637568	1832.0878378944	20	6	131.8422541720	2|3|4|5|7|8|9|11
1	PERSISTENT_WIDE_MQC_1.50	0	REALIZED	2294.5609342973	9	9	153148.7481025775	137408.1761761050	15740.5719264726	0.0000000000	114.1445811750	0.0000000000	3561.2740944757	2017.2245355684	20	4	114.1445811750	1|2|3|4|5|7|8|9|11
1	CURRENT_LANE_TIERS	0	CONDITIONAL_MEAN	2302.3516806904	9	2	209422.6024369893	57413.5435688544	152009.0588681348	0.0000000000	1347.9946555515	0.0000000000	954.3570251389	397.1673027416	16	20	1347.9946555515	3|11
1	CURRENT_LANE_TIERS	0	CONDITIONAL_MEAN	2302.3516806904	9	3	185350.2620142649	96896.4362586311	88453.8257556337	0.0000000000	788.3156175979	0.0000000000	1514.0360630925	602.6298756874	17	20	788.3156175979	3|7|11
1	CURRENT_LANE_TIERS	0	CONDITIONAL_MEAN	2302.3516806904	9	4	165965.1015151627	100399.8235677343	65565.2779474284	0.0000000000	573.7181146162	0.0000000000	1809.4279438853	733.5581620655	20	19	573.7181146162	0|3|7|11
1	CURRENT_LANE_TIERS	0	CONDITIONAL_MEAN	2302.3516806904	9	5	146933.0688519986	112167.9132751568	34765.1555768417	0.0000000000	292.4716408076	0.0000000000	2137.4466278425	858.5344523905	20	16	292.4716408076	0|3|7|9|11
1	CURRENT_LANE_TIERS	0	CONDITIONAL_MEAN	2302.3516806904	9	6	131911.6202537780	115750.7053144549	16160.9149393229	0.0000000000	147.3585774864	0.0000000000	2548.6894953168	988.5699659626	20	10	144.9951490573	0|3|7|8|9|11
1	CURRENT_LANE_TIERS	0	CONDITIONAL_MEAN	2302.3516806904	9	7	120573.5228757057	109552.2838798752	11021.2389958303	0.0000000000	101.6493730754	0.0000000000	2927.1862260357	1111.9944310786	20	6	101.6493730754	0|1|3|7|8|9|11
1	CURRENT_LANE_TIERS	0	CONDITIONAL_MEAN	2302.3516806904	9	8	111949.0463294773	106510.3084593695	5438.7378701077	0.0000000000	54.5450803352	0.0000000000	3199.3173499755	1203.5388179281	20	6	54.5450803352	0|3|5|6|7|8|9|11
1	CURRENT_LANE_TIERS	0	CONDITIONAL_MEAN	2302.3516806904	9	9	105734.8253436792	103748.1214321407	1986.7039115385	0.0000000000	17.9780342956	0.0000000000	3477.3935107128	1311.2529515503	20	4	17.9780342956	0|3|5|6|7|8|9|10|11
1	CURRENT_LANE_TIERS_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	2	209422.6024369893	57413.5435688544	152009.0588681348	0.0000000000	1347.9946555515	0.0000000000	954.3570251389	595.7509541123	16	20	1347.9946555515	3|11
1	CURRENT_LANE_TIERS_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	3	185350.2620142649	96896.4362586311	88453.8257556337	0.0000000000	788.3156175979	0.0000000000	1514.0360630925	903.9448135311	17	20	788.3156175979	3|7|11
1	CURRENT_LANE_TIERS_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	4	165965.1015151627	100399.8235677343	65565.2779474284	0.0000000000	573.7181146162	0.0000000000	1809.4279438853	1100.3372430982	20	19	573.7181146162	0|3|7|11
1	CURRENT_LANE_TIERS_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	5	146933.0688519986	112167.9132751568	34765.1555768417	0.0000000000	292.4716408076	0.0000000000	2137.4466278425	1287.8016785857	20	16	292.4716408076	0|3|7|9|11
1	CURRENT_LANE_TIERS_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	6	131911.6202537780	115750.7053144549	16160.9149393229	0.0000000000	147.3585774864	0.0000000000	2548.6894953168	1482.8549489438	20	10	144.9951490573	0|3|7|8|9|11
1	CURRENT_LANE_TIERS_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	7	120588.9857077129	109567.7467118824	11021.2389958303	0.0000000000	101.6493730754	0.0000000000	2927.1862260357	1667.9916466178	20	6	101.6493730754	0|1|3|7|8|9|11
1	CURRENT_LANE_TIERS_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	8	111965.5615709409	106526.8237008332	5438.7378701077	0.0000000000	54.5450803352	0.0000000000	3199.3173499755	1805.3082268922	20	6	54.5450803352	0|3|5|6|7|8|9|11
1	CURRENT_LANE_TIERS_MQC_1.50	0	CONDITIONAL_MEAN	2302.3516806904	9	9	105796.0246762781	103809.3207647396	1986.7039115385	0.0000000000	17.9780342956	0.0000000000	3477.3935107128	1966.8794273254	20	4	17.9780342956	0|3|5|6|7|8|9|10|11
1	PERSISTENT_CARRIER_FACTOR	0	CONDITIONAL_MEAN	2302.3516806904	9	2	211718.7365618079	63612.6401899267	148106.0963718812	0.0000000000	1247.4848002178	0.0000000000	1054.8668804726	436.9850030361	13	20	1247.4848002178	3|7
1	PERSISTENT_CARRIER_FACTOR	0	CONDITIONAL_MEAN	2302.3516806904	9	3	186594.1788583429	92096.1141595250	94498.0646988180	0.0000000000	836.2419327434	0.0000000000	1466.1097479470	567.0205166082	15	20	836.2419327434	3|7|8
1	PERSISTENT_CARRIER_FACTOR	0	CONDITIONAL_MEAN	2302.3516806904	9	4	167645.9807116244	106952.8598516848	60693.1208599395	0.0000000000	579.2811359400	0.0000000000	1771.1505875206	737.5118895035	19	17	579.2811359400	3|4|7|8
