"S","lambda","design","query","ess","csaaVsSaaMean","mean","sd","q95","cvar","max","selC","selR","mqcC","mqcR"
"45","0.1","2","2","9.7634317003","0.6617920583983006","0","0","0","0","0","9","9","186.5401306104","186.5401306104"
"45","0.1","3","0","22.8268417807","0","0","0","0","0","0","9","9","10948.6128012013","10948.6128012013"
"45","0.1","3","1","10.3067035268","0.062370092909044085","0","0","0","0","0","9","9","4207.4759294396","4207.4759294396"
"45","0.1","3","2","9.7634317003","2.1797675184934158","0","0","0","0","0","9","9","327.1322727953","327.1322727953"
"60","0.01","1","0","7.1483005707","2.1279559220206177","0","0","0","0","0","8","8","12448.4077626597","12448.4077626597"
"60","0.01","1","1","7.5981926933","35.60771604048344","0","0","0","0","0","6","6","10740.3848198357","10740.3848198357"
"60","0.01","1","2","9.4927594467","-0.749616567685151","0","0","0","0","0","9","9","2496.9549661512","2496.9549661512"
"60","0.01","2","0","7.1483005707","10.216016759156641","100.00000000000001","100","100","100","100","7","0","5166.1220386729","0"
"60","0.01","2","1","7.5981926933","33.247948331134644","0","0","0","0","0","6","6","8187.25172252","8187.25172252"
"60","0.01","2","2","9.4927594467","0","0","0","0","0","0","9","9","1443.4173453817","1443.4173453817"
"60","0.01","3","0","7.1483005707","8.66502552389438","0","0","0","0","0","7","7","7240.653283191","7240.653283191"
"60","0.01","3","1","7.5981926933","32.88080712397771","0","0","0","0","0","6","6","9011.7530121749","9011.7530121749"
"60","0.01","3","2","9.4927594467","2.06011526986198","0","0","0","0","0","9","9","1629.8618507181","1629.8618507181"
"60","0.05","1","0","7.1483005707","2.1279559220206177","0","0","0","0","0","8","8","12448.4077626597","12448.4077626597"
"60","0.05","1","1","7.5981926933","35.60771604048344","0","0","0","0","0","6","6","10740.3848198357","10740.3848198357"
"60","0.05","1","2","9.4927594467","-0.749616567685151","0","0","0","0","0","9","9","2496.9549661512","2496.9549661512"
"60","0.05","2","0","7.1483005707","10.216016759156641","0","0","0","0","0","7","7","5166.1220386729","5166.1220386729"
"60","0.05","2","1","7.5981926933","33.247948331134644","0","0","0","0","0","6","6","8187.25172252","8187.25172252"
"60","0.05","2","2","9.4927594467","0","0","0","0","0","0","9","9","1443.4173453817","1443.4173453817"
"60","0.05","3","0","7.1483005707","8.66502552389438","0","0","0","0","0","7","7","7240.653283191","7240.653283191"
"60","0.05","3","1","7.5981926933","32.88080712397771","0","0","0","0","0","6","6","9011.7530121749","9011.7530121749"
"60","0.05","3","2","9.4927594467","2.06011526986198","0","0","0","0","0","9","9","1629.8618507181","1629.8618507181"
