design	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	context_market	context_trend	context_promotion	context_attention	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
DENSE_INDEPENDENT_LEVELS	2	0	CSAA	Optimal	true	80024.6578852907	0.000000000	4.721627	36.7531429100	9	2|3|4|6|7|8|9|10|11	2221.0576659541	0.4690286516	1.0000000000	0.4069491942	0.8351767390	98461.6656419960	36375.8631026520	162464.0809217921	194554.5545364923	270903.9908644595	0.0481166794	790.3429714996
DENSE_INDEPENDENT_LEVELS	2	1	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2672.1812381784	0.9885368084	1.0000000000	0.8845087040	0.7052343781	130018.0555207543	51805.8047865727	222627.6210220753	268927.2585921284	356118.6201473140	0.0854768619	338.3109870796
DENSE_INDEPENDENT_LEVELS	2	1	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2672.1812381784	0.9885368084	1.0000000000	0.8845087040	0.7052343781	130342.1434157621	51366.5657328785	223665.2180112829	267529.5579614717	354386.3335391633	0.0993575249	251.6521148366
DENSE_INDEPENDENT_LEVELS	2	1	CSAA	Optimal	true	91353.1445966915	4.732444380e-06	2.274909	28.2482488473	9	0|2|4|5|6|8|9|10|11	2672.1812381784	0.9885368084	1.0000000000	0.8845087040	0.7052343781	128378.8135993660	50284.9832295790	218176.3280317602	263683.2285708088	347248.5677360116	0.0881477325	391.2391803153
DENSE_INDEPENDENT_LEVELS	2	2	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2281.3989059900	0.4966300210	1.0000000000	0.7656443831	0.4703317578	103129.9295939867	37612.2233217106	171035.5360084858	202282.7192576352	301267.8888286052	0.0528968315	651.1185530651
DENSE_INDEPENDENT_LEVELS	2	2	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2281.3989059900	0.4966300210	1.0000000000	0.7656443831	0.4703317578	103392.6165508829	37368.4040220602	170199.8716597543	201246.6075649010	300036.8323216821	0.0652138910	487.8217427649
DENSE_INDEPENDENT_LEVELS	2	2	CSAA	Optimal	true	85920.7986900470	7.559235350e-05	1.473435	36.1788237757	9	0|2|4|5|6|8|9|10|11	2281.3989059900	0.4966300210	1.0000000000	0.7656443831	0.4703317578	102255.5093433248	36171.6084168221	168876.6148304879	198080.5086403189	298528.2508200755	0.0560578909	756.1663193302
DENSE_INDEPENDENT_LEVELS	2	3	D	Optimal	true	65396.6918892591	0.000000000	0.021412	1.0000000000	9	2|3|4|6|7|8|9|10|11	2679.6688473597	0.9228559049	1.0000000000	0.9149043955	0.7457715850	136621.2727871247	51289.6292126423	227995.2980303376	270377.8598336018	400935.4840468307	0.0869400398	218.9482592148
DENSE_INDEPENDENT_LEVELS	2	3	SAA	Optimal	true	79815.8038447608	0.000000000	4.914985	60.0000000000	9	0|2|3|4|6|8|9|10|11	2679.6688473597	0.9228559049	1.0000000000	0.9149043955	0.7457715850	136738.4690509870	50757.7109951480	230647.8436141970	269144.7905060407	397152.1116898291	0.1000625185	163.3470303003
DENSE_INDEPENDENT_LEVELS	2	3	CSAA	Optimal	true	91089.6828816610	3.276422759e-06	1.657280	28.0576667833	9	0|2|4|5|6|8|9|10|11	2679.6688473597	0.9228559049	1.0000000000	0.9149043955	0.7457715850	134565.0122074306	49608.9655246882	222813.3701618760	264878.3930350706	397058.9592225832	0.0899768957	330.7411530513
