"S","lambda","design","query","ess","csaaSaa","mean","sd","q95","cvar","max","dsel","dmqc","dspot"
"45","0.25","3","2","9.7634317003","2.1797675184934158","-0.47997074057726175","0.7744788114220685","0.302512021703457","0.21491529504737586","0.8749699281515324","0","-87.62599887880003","-0.47083555999999915"
"45","0.5","1","0","22.8268417807","0","0","0","0","0","0","0","0","0"
"45","0.5","1","1","10.3067035268","0","0","0","0","0","0","0","0","0"
"45","0.5","1","2","9.7634317003","0","0","0","0","0","0","0","0","0"
"45","0.5","2","0","22.8268417807","3.636048419825146","-3.773245451438292","-0.9606047607278928","-1.3855123281382344","-1.837309245429384","-2.212872576661409","0","1279.3837857561994","0.9860428000000004"
"45","0.5","2","1","10.3067035268","-0.08814167952176453","0.45574799278219186","1.3711567103251368","0.7609991205919493","0.5455185175905741","0.19677078521170838","0","-262.3207796631","-0.053114880000001974"
"45","0.5","2","2","9.7634317003","0.6617920583983006","0","0","0","0","0","0","0","0"
"45","0.5","3","2","9.7634317003","2.1797675184934158","-0.47997074057726175","0.7744788114220685","0.302512021703457","0.21491529504737586","0.8749699281515324","0","-87.62599887880003","-0.47083555999999915"
"60","0.25","1","0","7.1483005707","2.1279559220206177","0","0","0","0","0","0","0","0"
"60","0.25","1","2","9.4927594467","-0.749616567685151","0","0","0","0","0","0","0","0"
"60","0.25","2","0","7.1483005707","10.216016759156641","-2.8054885799823372","4.1877516453938215","2.2361847804371475","0.10913058192038004","0.2846763974256554","1","1699.0897405242004","-1.177531300000001"
"60","0.25","2","1","7.5981926933","33.247948331134644","-11.417570340098758","0.8969361290650137","-9.765071468313574","-8.927145906610265","-6.787831484100837","1","2221.0431640227007","-0.055231680000000005"
"60","0.25","2","2","9.4927594467","0","0","0","0","0","0","0","0","0"
"60","0.25","3","0","7.1483005707","8.66502552389438","-2.805750731725643","0.8381679151030884","-1.9201091870076412","-1.3389867659031585","-1.621725009831132","1","1380.0947433675","-0.40234533999999944"
"60","0.25","3","1","7.5981926933","32.88080712397771","-9.436713759085624","2.072341503026771","-8.122412389946655","-7.8542115472953515","-6.746419308161281","1","2007.3492634588001","-0.04971389999999998"
"60","0.25","3","2","9.4927594467","2.06011526986198","0","0","0","0","0","0","0","0"
"60","0.5","1","0","7.1483005707","2.1279559220206177","-2.17422241669457","0.7803694213060366","-1.7971073501364208","-0.831052619992396","-0.3615736275606423","1","2088.5532419389983","-1.444088510000001"
"60","0.5","1","2","9.4927594467","-0.749616567685151","0","0","0","0","0","0","0","0"
"60","0.5","2","0","7.1483005707","10.216016759156641","-8.868661029121109","18.2757803805756","1.879051344801205","2.760803410105618","11.481760541500497","2","5463.4540540544","-3.0583638900000008"
"60","0.5","2","1","7.5981926933","33.247948331134644","-26.79020023524694","1.8454767807513563","-22.987988957080667","-20.9460701144198","-15.895083494833486","2","5252.038827265401","-0.06063450999999999"
"60","0.5","2","2","9.4927594467","0","0","0","0","0","0","0","0","0"
"60","0.5","3","0","7.1483005707","8.66502552389438","-2.805750731725643","0.8381679151030884","-1.9201091870076412","-1.3389867659031585","-1.621725009831132","1","1380.0947433675","-0.40234533999999944"
"60","0.5","3","1","7.5981926933","32.88080712397771","-26.75454760147759","20.720791804478377","-21.578446402605287","-18.120659635561754","-12.528765917910915","2","5295.430954474799","-0.45895286999999996"
"60","0.5","3","2","9.4927594467","2.06011526986198","0","0","0","0","0","0","0","0"
