replication	volatility	capacity_scale	penalty_scale	method	lambda	status	certified	objective	gap	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty	capacity_utilization
1	HIGH	0.75	5.00	CSAA	0.00	Optimal	true	121002.8442090902	0.000000000	2.098769	8	1|2|4|5|8|9|10|11	105048.1667810557	49782.8143509622	198340.8222455070	260745.4148597120	436951.0064545659	0.1407015731	10330.0148686572	0.5158938648
1	HIGH	0.75	5.00	C_CHI2	0.50	PrimalFeasible	true	150478.2447792833	0.000000000	10.221474	9	0|1|2|4|5|8|9|10|11	107243.2776750560	45287.1521589692	193180.0818689523	252404.7870516851	424655.4969401544	0.1139047487	14632.3356306374	0.4842279840
1	HIGH	0.60	1.00	D	0.00	Optimal	true	102237.7334430623	0.000000000	0.007914	9	1|2|3|4|5|8|9|10|11	104596.6251853262	58461.1574802097	212288.0109660489	276082.9783729205	454205.4579052042	0.1741254522	4865.2514999631	0.5580685914
1	HIGH	0.60	1.00	SAA	0.00	Optimal	true	134111.1251746371	0.000000000	2.198489	9	1|2|3|4|5|8|9|10|11	104596.6251853262	58461.1574802097	212288.0109660489	276082.9783729205	454205.4579052042	0.1741254522	4865.2514999631	0.5580685914
1	HIGH	0.60	1.00	CSAA	0.00	Optimal	true	122165.1605555909	8.695579221e-05	2.012637	9	1|2|3|4|5|8|9|10|11	104596.6251853262	58461.1574802097	212288.0109660489	276082.9783729205	454205.4579052042	0.1741254522	4865.2514999631	0.5580685914
1	HIGH	0.60	1.00	C_CHI2	0.50	PrimalFeasible	true	159078.8622746737	0.000000000	9.081352	9	0|1|2|4|5|8|9|10|11	104931.9853426937	58281.3267802991	210859.2167730342	275941.1486934962	453268.1271450268	0.1707807783	4812.3490735131	0.5664333933
1	HIGH	0.60	2.00	D	0.00	Optimal	true	102257.5850494727	0.000000000	0.007472	9	1|2|3|4|5|8|9|10|11	109118.1421721941	56076.0247162597	212343.1001566708	276667.9468701956	454387.1913262845	0.1737150115	8598.1590592369	0.5583459387
1	HIGH	0.60	2.00	SAA	0.00	Optimal	true	137546.3979492572	0.000000000	2.393470	9	1|2|3|4|5|8|9|10|11	109118.1421721941	56076.0247162597	212343.1001566708	276667.9468701956	454387.1913262845	0.1737150115	8598.1590592369	0.5583459387
1	HIGH	0.60	2.00	CSAA	0.00	Optimal	true	126215.1873334313	0.000000000	2.120188	9	0|1|2|4|5|8|9|10|11	109300.5221170534	55864.7416560500	210899.1498816482	276452.5492378416	453300.6709087028	0.1704807905	8224.1524423644	0.5666383127
1	HIGH	0.60	2.00	C_CHI2	0.50	PrimalFeasible	true	161653.7300301326	0.000000000	8.335073	9	0|1|2|4|5|8|9|10|11	109300.5221170534	55864.7416560500	210899.1498816482	276452.5492378416	453300.6709087028	0.1704807905	8224.1524423644	0.5666383127
1	HIGH	0.60	5.00	D	0.00	Optimal	true	102257.5850494727	0.000000000	0.006652	9	1|2|3|4|5|8|9|10|11	121167.2731625318	49720.7066511660	212412.8646466557	277632.6627407786	454507.7241644658	0.1731891035	19049.6374566735	0.5587013107
1	HIGH	0.60	5.00	SAA	0.00	Optimal	true	145995.9667159857	2.892341523e-06	3.649631	9	0|1|2|4|5|8|9|10|11	120420.0702267630	49786.0242724025	210955.8636379705	277209.7795250363	453300.6709087028	0.1699952312	17189.1530096458	0.5669699946
1	HIGH	0.60	5.00	CSAA	0.00	Optimal	true	136009.4048713100	0.000000000	3.142205	8	1|2|4|5|8|9|10|11	118527.1672066284	54160.4787461325	218379.8714480244	285229.3271235707	463211.2744864163	0.2018371893	12556.4425413267	0.5989876221
1	HIGH	0.60	5.00	C_CHI2	0.50	PrimalFeasible	true	168439.9528556780	5.419950055e-05	3.513549	9	0|1|2|4|5|8|9|10|11	120420.0702267630	49786.0242724025	210955.8636379705	277209.7795250363	453300.6709087028	0.1699952312	17189.1530096458	0.5669699946
2	HIGH	1.00	1.00	D	0.00	Optimal	true	63756.6286098279	0.000000000	0.011795	9	0|3|4|6|7|8|9|10|11	113809.1822000967	59806.3613848572	221643.9245916660	277238.9174233592	440612.8187769798	0.1375588086	1028.1759759864	0.4989455751
2	HIGH	1.00	1.00	SAA	0.00	Optimal	true	89414.5504477234	0.000000000	1.996360	9	0|2|3|4|6|8|9|10|11	113543.2164967220	59720.1549686285	223716.6664862831	276660.2527188601	444185.0619976335	0.1398656173	816.3965688088	0.5003260517
2	HIGH	1.00	1.00	CSAA	0.00	Optimal	true	90798.1776825761	0.000000000	1.951607	9	0|2|3|4|6|8|9|10|11	113543.2164967220	59720.1549686285	223716.6664862831	276660.2527188601	444185.0619976335	0.1398656173	816.3965688088	0.5003260517
2	HIGH	1.00	1.00	C_CHI2	0.50	PrimalFeasible	true	113444.3423826747	0.000000000	11.353371	9	0|2|3|4|6|8|9|10|11	113543.2164967220	59720.1549686285	223716.6664862831	276660.2527188601	444185.0619976335	0.1398656173	816.3965688088	0.5003260517
2	HIGH	1.00	2.00	D	0.00	Optimal	true	64229.3126030523	0.000000000	0.010025	9	0|3|4|6|7|8|9|10|11	114663.2781851135	59074.1836975959	221643.9245916660	277279.1781373188	440612.8187769798	0.1373459750	1545.6589517152	0.4990687052
2	HIGH	1.00	2.00	SAA	0.00	Optimal	true	91298.5414851934	0.000000000	1.808837	9	0|2|3|4|6|8|9|10|11	114165.6087675601	59157.3139018376	223716.6664862831	276663.7541296652	444185.0619976335	0.1397035502	1046.4970681117	0.5004203235
2	HIGH	1.00	2.00	CSAA	0.00	Optimal	true	92371.0346623271	0.000000000	1.569562	9	0|2|3|4|6|8|9|10|11	114165.6087675601	59157.3139018376	223716.6664862831	276663.7541296652	444185.0619976335	0.1397035502	1046.4970681117	0.5004203235
2	HIGH	1.00	2.00	C_CHI2	0.50	PrimalFeasible	true	114406.9418995516	0.000000000	9.860732	9	0|2|3|4|6|8|9|10|11	114165.6087675601	59157.3139018376	223716.6664862831	276663.7541296652	444185.0619976335	0.1397035502	1046.4970681117	0.5004203235
2	HIGH	1.00	5.00	D	0.00	Optimal	true	64498.3501603847	0.000000000	0.012118	9	0|3|4|6|7|8|9|10|11	116509.7299322701	57435.8325971333	221643.9245916660	277325.2030127259	440612.8187769798	0.1372472130	2749.7063771573	0.4991258417
2	HIGH	1.00	5.00	SAA	0.00	Optimal	true	96126.0364369905	0.000000000	2.950121	8	0|3|4|6|8|9|10|11	118774.1791791126	60964.9768646948	231416.1172969961	285820.6346499778	452038.4405711971	0.1746034499	985.6881357338	0.5405223102
2	HIGH	1.00	5.00	CSAA	0.00	Optimal	true	96281.1794342037	0.000000000	3.000356	8	0|3|4|6|8|9|10|11	118774.1791791126	60964.9768646948	231416.1172969961	285820.6346499778	452038.4405711971	0.1746034499	985.6881357338	0.5405223102
2	HIGH	1.00	5.00	C_CHI2	0.50	PrimalFeasible	true	116836.4185045338	9.628051367e-05	3.549630	9	0|2|3|4|6|8|9|10|11	115409.8236703529	57978.1573834070	223716.6664862831	276663.7541296652	444185.0619976335	0.1394587331	1938.5825728586	0.5005627296
2	HIGH	0.75	1.00	D	0.00	Optimal	true	75787.7826800638	0.000000000	0.015324	9	0|1|4|6|7|8|9|10|11	131493.4765416383	66097.7494797198	252883.3193082481	307830.8178998249	477100.8827232120	0.2177254073	1255.2272754177	0.6063162450
