replication	design	base_cv	top5_share	mean_loading_cosine	mean_context_share_tv	q95_context_share_tv	total_conditional_mean_cv	mean_lane_q90_q10_ratio
25	three_level_original_coefficients	0.8272217864	0.2361731907	0.9721914008	0.0090249478	0.0140663439	0.1332338423	1.4276809900
26	three_level_original_coefficients	0.8104626707	0.2405970575	0.9749544246	0.0084998157	0.0131836448	0.1302953804	1.4228019311
27	three_level_original_coefficients	0.8589318309	0.2478099612	0.9733324796	0.0087518477	0.0135998124	0.1311528531	1.4166846795
28	three_level_original_coefficients	0.8205573641	0.2482756803	0.9717984189	0.0090381653	0.0140088783	0.1342137228	1.4295636988
29	three_level_original_coefficients	0.7889864160	0.2377044344	0.9786217749	0.0085310858	0.0130499888	0.1328739653	1.4195650935
30	three_level_original_coefficients	0.8076361695	0.2394356836	0.9743654854	0.0092166202	0.0146994538	0.1314735970	1.4343633307
31	three_level_original_coefficients	0.8253568853	0.2422373254	0.9735331500	0.0083626546	0.0127095872	0.1320232501	1.4165613149
32	three_level_original_coefficients	0.7848532987	0.2406774365	0.9726758702	0.0090497817	0.0146625232	0.1319734592	1.4149550606
33	three_level_original_coefficients	0.8049580185	0.2383715420	0.9744992517	0.0082490694	0.0128322248	0.1301173934	1.4228893718
34	three_level_original_coefficients	0.8202858574	0.2450266325	0.9714841146	0.0093084059	0.0147325552	0.1343955022	1.4357164988
35	three_level_original_coefficients	0.7994510826	0.2333375792	0.9765857299	0.0090555001	0.0141443394	0.1343236184	1.4355642732
36	three_level_original_coefficients	0.8038003514	0.2435173700	0.9726236526	0.0092188138	0.0142892205	0.1303880214	1.4195206775
37	three_level_original_coefficients	0.7775408579	0.2371212779	0.9689839682	0.0094567728	0.0156811473	0.1332675351	1.4381681831
38	three_level_original_coefficients	0.8061836548	0.2434849766	0.9798868298	0.0082859088	0.0130069068	0.1318711883	1.4248308347
39	three_level_original_coefficients	0.8069079414	0.2342904949	0.9692946382	0.0093699650	0.0146605690	0.1277025250	1.4109256287
40	three_level_original_coefficients	0.7945371207	0.2399026476	0.9765693058	0.0085218490	0.0136858786	0.1304383282	1.4122675802
41	three_level_original_coefficients	0.8152167486	0.2422789469	0.9769925659	0.0086117533	0.0133941555	0.1308450392	1.4150325808
42	three_level_original_coefficients	0.7816938413	0.2377449205	0.9719364782	0.0089133272	0.0144194537	0.1307506235	1.4235882324
43	three_level_original_coefficients	0.8441329865	0.2462350143	0.9715476282	0.0090215614	0.0137324210	0.1354409767	1.4300467932
44	three_level_original_coefficients	0.8090739924	0.2393004578	0.9742269660	0.0087080706	0.0136282275	0.1302122920	1.4182120720
45	three_level_original_coefficients	0.8115539731	0.2433837130	0.9744824922	0.0085036155	0.0136419189	0.1303015310	1.4229145573
46	three_level_original_coefficients	0.8175923459	0.2402743134	0.9730690553	0.0090773696	0.0147719475	0.1300645699	1.4186201194
47	three_level_original_coefficients	0.8274936653	0.2359403029	0.9696033919	0.0097893628	0.0152264720	0.1313184354	1.4282024076
48	three_level_original_coefficients	0.7763895356	0.2336588660	0.9726811141	0.0091417821	0.0139264902	0.1291591229	1.4098208242
49	three_level_original_coefficients	0.7669474464	0.2376137826	0.9724205559	0.0091761712	0.0151074475	0.1295348554	1.4140542715
50	three_level_original_coefficients	0.7976528390	0.2381173517	0.9740545273	0.0090333831	0.0139598166	0.1320106495	1.4252012765
